annee,dept,libelle_classe_age,patho_niv1,Npop,Ntop,prev_calculee
2015,9,de 70 à 74 ans,Maladies respiratoires chroniques (hors mucoviscidose),13760,1450.0,10.54
2015,9,de 75 à 79 ans,Cancers,146270,5770.0,3.94
2015,9,de 75 à 79 ans,Diabète,12020,2310.0,19.22
2015,9,de 75 à 79 ans,Insuffisance rénale chronique terminale,17380,60.0,0.35
2015,9,de 75 à 79 ans,Maladies cardioneurovasculaires,170960,10360.0,6.06
2015,9,de 75 à 79 ans,Maladies du foie ou du pancréas (hors mucoviscidose),12020,210.0,1.75
2015,9,de 75 à 79 ans,Maladies inflammatoires ou rares ou infection VIH,86820,950.0,1.09
2015,9,de 75 à 79 ans,Maladies neurologiques,56770,1570.0,2.77
2015,9,de 75 à 79 ans,Maladies psychiatriques,60100,1400.0,2.33
2015,9,de 75 à 79 ans,Maladies respiratoires chroniques (hors mucoviscidose),12020,1370.0,11.4
2015,9,de 80 à 84 ans,Cancers,141860,6070.0,4.28
2015,9,de 80 à 84 ans,Diabète,11620,2160.0,18.59
2015,9,de 80 à 84 ans,Insuffisance rénale chronique terminale,16460,100.0,0.61
2015,9,de 80 à 84 ans,Maladies cardioneurovasculaires,168490,13420.0,7.96
2015,9,de 80 à 84 ans,Maladies du foie ou du pancréas (hors mucoviscidose),11620,170.0,1.46
2015,9,de 80 à 84 ans,Maladies inflammatoires ou rares ou infection VIH,77950,1170.0,1.5
2015,9,de 80 à 84 ans,Maladies neurologiques,60520,2860.0,4.73
2015,9,de 80 à 84 ans,Maladies psychiatriques,58100,1630.0,2.81
2015,9,de 80 à 84 ans,Maladies respiratoires chroniques (hors mucoviscidose),11620,1460.0,12.56
2015,9,de 85 à 89 ans,Cancers,92820,4300.0,4.63
2015,9,de 85 à 89 ans,Diabète,8690,1520.0,17.49
2015,9,de 85 à 89 ans,Insuffisance rénale chronique terminale,8700,20.0,0.23
2015,9,de 85 à 89 ans,Maladies cardioneurovasculaires,126010,12650.0,10.04
2015,9,de 85 à 89 ans,Maladies du foie ou du pancréas (hors mucoviscidose),8690,160.0,1.84
2015,9,de 85 à 89 ans,Maladies inflammatoires ou rares ou infection VIH,48950,860.0,1.76
2015,9,de 85 à 89 ans,Maladies neurologiques,39110,3540.0,9.05
2015,9,de 85 à 89 ans,Maladies psychiatriques,37510,1480.0,3.95
2015,9,de 85 à 89 ans,Maladies respiratoires chroniques (hors mucoviscidose),8690,1220.0,14.04
2015,9,de 90 à 94 ans,Cancers,39920,2130.0,5.34
2015,9,de 90 à 94 ans,Diabète,4550,640.0,14.07
2015,9,de 90 à 94 ans,Maladies cardioneurovasculaires,63070,7830.0,12.41
2015,9,de 90 à 94 ans,Maladies du foie ou du pancréas (hors mucoviscidose),4550,90.0,1.98
2015,9,de 90 à 94 ans,Maladies inflammatoires ou rares ou infection VIH,15680,270.0,1.72
2015,9,de 90 à 94 ans,Maladies neurologiques,18200,2580.0,14.18
2015,9,de 90 à 94 ans,Maladies psychiatriques,16940,730.0,4.31
2015,9,de 90 à 94 ans,Maladies respiratoires chroniques (hors mucoviscidose),4550,640.0,14.07
2015,9,plus de 95 ans,Cancers,4720,320.0,6.78
2015,9,plus de 95 ans,Diabète,1180,140.0,11.86
2015,9,plus de 95 ans,Maladies cardioneurovasculaires,14330,2090.0,14.58
2015,9,plus de 95 ans,Maladies inflammatoires ou rares ou infection VIH,1180,20.0,1.69
2015,9,plus de 95 ans,Maladies neurologiques,2360,700.0,29.66
2015,9,plus de 95 ans,Maladies psychiatriques,2080,110.0,5.29
2015,9,plus de 95 ans,Maladies respiratoires chroniques (hors mucoviscidose),1180,140.0,11.86
2015,9,tous âges,Cancers,3769480,46890.0,1.24
2015,9,tous âges,Diabète,289960,17660.0,6.09
2015,9,tous âges,Insuffisance rénale chronique terminale,1014860,830.0,0.08
2015,9,tous âges,Maladies cardioneurovasculaires,4349400,82440.0,1.9
